"","name","sfe","geog","aud","god","gg"
"12","""Интегра тур"" - Специализированная туристическая компания для людей с ограниченными физическими возможностями.","             Туризм","             Татарстан","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое, Некоммерческие организации"," 2015        ",2015
"13","""Карапузики"" домашний сад.","             Образование","             Санкт-Петербург и область","                                       Родители с детьми, Дошкольники"," 2012        ",2012
"14","""Лаборатория социальной рекламы""","             Социально ориентированные НКО","             Общероссийский проект","                                       Студенты, Добровольцы, сторонники НКО, Другое, Некоммерческие организации"," 2002        ",2002
"15","""Летающие звери"", благотворительный медиа-бренд ","             Социально ориентированные НКО","             Санкт-Петербург и область","                                       Родители с детьми, Добровольцы, сторонники НКО"," 2012        ",2012
"16","""Либерти"", туристическая компания для инвалидов-колясочников","             Туризм","             Санкт-Петербург и область","                                       Люди с ограниченными возможностями, инвалиды"," 2011        ",2011
"17","""Логопедическая студия 5+5""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Архангельская обл.","                                       Пожилые люди, Родители с детьми, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Работающая молодежь, Некоммерческие организации"," 2017        ",2017
"18","""Лозахолдинг""","             Легкая промышленность","             Липецкая обл.","                                       Люди с ограниченными возможностями, инвалиды"," 2007        ",2007
"19","""Медицинский Центр ""Сколиоз-диагностика""","             Здравоохранение","             Омская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 1998        ",1998
"20","""Метаверситет"" - Санкт-Петербург","             Образование","             Санкт-Петербург и область","                                       Родители с детьми, Молодежь, Учащиеся средней школы, Студенты"," 2014        ",2014
"21","""МиКо"", натуральная косметика и экологичные средства для дома","             Экология","             Кировская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2009        ",2009
"22","""Музей пчеловодства"" ","             Культурно-просветительская деятельность","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет"," 2010        ",2010
"23","""Обувная фабрика ТИБОЖ"" Благотворительного фонда ""Тихвинской Иконы Божьей Матери""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Санкт-Петербург и область","                                       Люди с ограниченными возможностями, инвалиды, Добровольцы, сторонники НКО, Некоммерческие организации"," 2014        ",2014
"24","""ОРТО-ЛЮКС"" изготовление индивидуальных ортопедических изделий для нижних конечностей","             Медтехника, протезно-ортопедические, другие техсредства","             Общероссийский проект","                                       Люди с ограниченными возможностями, инвалиды"," 2002        ",2002
"25","""Рыжиковое масло"" (ИП глава КФХ Пальчик А.П.)","             Продукты питания","             Иркутская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2013        ",2013
"26","""Сема"", сеть развивающих детских центров ","             Сфера услуг","             Общероссийский проект","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Другое"," 1997        ",1997
"27","""СемиНотка"", музыкально-образовательный проект","             Культурно-просветительская деятельность","             Москва и Московская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи, Некоммерческие организации"," 2009        ",2009
"28","""Стала мамой"" Сообщество Активных Мам Томска, магазин для мам с малышами","             Детские товары и услуги","             Томская обл.","                                       Родители с детьми, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Неполные семьи"," 2012        ",2012
"29","""Центр по организации помощи пожилым и инвалидам""","             Cоциальное обслуживание граждан","             Кемеровская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2014        ",2014
"30","""Эврика"" центр развития детей","             Образование","             Кемеровская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2017        ",2017
"31","#МАМАМОЖЕТПЕРМЬ","             Сфера услуг","             Пермский край","                                       Родители с детьми, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2017        ",2017
"32","AdCharity","             Интернет и IT","             Москва и Московская обл.","                                       Добровольцы, сторонники НКО"," 2015        ",2015
"33","Altourism","             Туризм","             Общероссийский проект","                                       Родители с детьми, Молодежь, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет"," 2014        ",2014
"34","Charity Shop","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Социально-незащищенные жители, Дети-сироты, приемные семьи, Добровольцы, сторонники НКО"," 2014        ",2014
"35","Dublway","             Интернет и IT","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2014        ",2014
"36","ECOPAD","             Экология","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2009        ",2009
"37","JewelGirls","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Москва и Московская обл.","                                       Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Учащиеся средней школы"," 2009        ",2009
"38","Jewish Steps","             Туризм","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Молодежь, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2017        ",2017
"39","LavkaLavka","             Продукты питания","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Молодежь, Студенты, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2009        ",2009
"40","MAPI (ООО ""Интерактивные системы"")","             Инновации","             Свердловская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2014        ",2014
"41","Natur4Tour","             Туризм","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"42","Observer","             Медтехника, протезно-ортопедические, другие техсредства","             Калининградская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2012        ",2012
"43","OOO""ДЦ""АНТОШКА""","             Образование","             Вологодская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2009        ",2009
"44","SmartCenter ""Триумф""","             Образование","             Ямало-Ненецкий АО","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи"," 2012        ",2012
"45","Ubuntu Mail","             Образование","             Межрегиональный проект","                                       Дети-сироты, приемные семьи, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты, Некоммерческие организации"," 2013        ",2013
"46","Univer-Comp ","             Cоциальное обслуживание граждан","             Пермский край","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Другое"," 2002        ",2002
"47","WorkOut: фитнес городских улиц","             Физическая культура и массовый спорт","             Общероссийский проект","                                       Родители с детьми, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет"," 2009        ",2009
"48","www.incamp.ru - интернет-каталог детских лагерей с бесплатным сервисом бронирования путевок (ООО ""Инкэмп.ру)","             Отдых и досуг","             Санкт-Петербург и область","                                       Родители с детьми, Учащиеся младших классов, Учащиеся средней школы"," 2011        ",2011
"49","«Альтернатива» Центр аудио-психо-фонологии и биоакустической коррекции ","             Здравоохранение","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"50","«Работа-i»","             Профориентация и трудоустройство","             Санкт-Петербург и область","                                       Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Некоммерческие организации"," 2012        ",2012
"51","«Резиденция для пожилых»","             Cоциальное обслуживание граждан","             Ханты-Мансийский АО","                                       Пожилые люди"," 2015        ",2015
"52","«Социальная помощь без границ» ","             Cоциальное обслуживание граждан","             Ханты-Мансийский АО","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2016        ",2016
"53","Аврора Семейный оздоровительный центр (лечение задержки речи, соляная пещера, логопед. психолог)","             Здравоохранение и содействие здоровому образу жизни","             Мурманская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2011        ",2011
"54","Автономная некоммерческая организация ""Культурно-досуговый центр ""Оранжевое Чудо""","             Культура и искусство","             Татарстан","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2011        ",2011
"55","Автономная некоммерческая организация ""Культурно-досуговый центр ""Солирис""","             Занятия в детских и молодежных кружках, секциях, студиях","             Крым","                                       Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2006        ",2006
"56","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ФЕЛИНОТЕРАПИИ ""КЭТС ПЛАНЕТА ДОВЕРИЯ""","             Социально ориентированные НКО","             Ростовская обл.","                                       Родители с детьми, Социально-незащищенные жители, Дети-сироты, приемные семьи, Дошкольники, Учащиеся младших классов, Другое"," 2016        ",2016
"57","Автономная некоммерческая организация дополнительного образования ""Коррекционно-Развивающий Центр""","             Образование","             Москва и Московская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2009        ",2009
"58","Автономная некоммерческая организация научно-практическое социально-педагогическое объединение ""Благое дело""","             Социально ориентированные НКО","             Свердловская обл.","                                       Люди с ограниченными возможностями, инвалиды, Добровольцы, сторонники НКО, Некоммерческие организации"," 2005        ",2005
"59","Автономная некоммерческая организация социальных услуг и консультативной деятельности ""Ресурсный центр некоммерческих организаций""","             Социально ориентированные НКО","             Мурманская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2014        ",2014
"60","Автономная некоммерческая организация Центр Помощи Семьям с Особыми Детьми ""Школа Счастья""","             Образование","             Нижегородская (Горьковская)","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи"," 2017        ",2017
"61","Автономная некоммерческая организация Центр содействия раннему выявлению и лечению ДЦП ""Азатлык"" (АНО Центр ""Азатлык"")","             Здравоохранение и содействие здоровому образу жизни","             Башкортостан(Башкирия)","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи"," 2014        ",2014
"62","Автономная некоммерческая организация Центр социального обслуживания населения ""Забота""","             Cоциальное обслуживание граждан","             Башкортостан(Башкирия)","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Неполные семьи"," 2015        ",2015
"63","Автономная некоммерческая организация Центр социального обслуживания населения ""Ихтирам""","             Cоциальное обслуживание граждан","             Башкортостан(Башкирия)","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2015        ",2015
"64","Автономная некоммерческая организация Центр социального обслуживания населения ""Родник"" Калиниского района ГО г. Уфа РБ","             Cоциальное обслуживание граждан","             Башкортостан(Башкирия)","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2015        ",2015
"65","Автономная некоммерческая организация Центр социального обслуживания населения ""Ярдам""","             Cоциальное обслуживание граждан","             Башкортостан(Башкирия)","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2015        ",2015
"66","Автономная некоммерческая организация Центр социального обслуживания населения «Мархамат»","             Социально ориентированные НКО","             Башкортостан(Башкирия)","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Добровольцы, сторонники НКО, Неполные семьи, Другое, Некоммерческие организации"," 2015        ",2015
"67","Автономная некоммерческая организация Центр социального обслуживания населения «Поколение»","             Социально ориентированные НКО","             Башкортостан(Башкирия)","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2015        ",2015
"68","Автономная некоммерческая профессиональная образовательная организация ""Институт развития современных образовательных технологий""","             Образование","             Пермский край","                                       Родители с детьми, Сельские жители, Социально-незащищенные жители, Молодежь, Дошкольники, Студенты, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2004        ",2004
"69","Агентство Доброй Славы","             Сфера услуг","             Ростовская обл.","                                       Некоммерческие организации"," 2016        ",2016
"70","Агентство по подбору сиделок  «Ваша жизнь»","             Сфера услуг","             Кемеровская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"71","Агентство социальных проектов HeyDay Social","             Сфера услуг","             Санкт-Петербург и область","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Работающая молодежь, Другое"," 2013        ",2013
"72","Аистенок, Детский досуговый центр, НДОУ","             Образование","             Пермский край","                                       Родители с детьми, Дошкольники"," 2010        ",2010
"73","Академия здоровья, АНО","             Здравоохранение","             Пермский край","                                       Родители с детьми, Учащиеся младших классов, Студенты"," 2010        ",2010
"74","Академия малышей, Развивающий детский центр (ООО ""Алфавит"")","             Образование","             Астраханская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2014        ",2014
"75","Академия успеха, Центр развития личности ","             Образование","             Пермский край","                                       Родители с детьми, Дошкольники"," 2010        ",2010
"76","Академия юных предпринимателей","             Образование","             Татарстан","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Неполные семьи"," 2016        ",2016
"77","Аква-Клуб Акварики","             Физическая культура и массовый спорт","             Алтайский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2014        ",2014
"78","Алтайская резиденция Деда Мороза","             Отдых и досуг","             Алтайский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2012        ",2012
"79","Ангарская городская общественная организация трудовой реабилитации инвалидов","             Социально ориентированные НКО","             Иркутская обл.","                                       Люди с ограниченными возможностями, инвалиды, Добровольцы, сторонники НКО, Некоммерческие организации"," 2011        ",2011
"80","АНО ""Детям о важном""","             Культурно-просветительская деятельность","             Общероссийский проект","                                       Родители с детьми"," 2016        ",2016
"81","АНО ""Репетиционный центр ЛОГОС""","             Туризм","             Свердловская обл.","                                       Родители с детьми, Дети-сироты, приемные семьи, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2005        ",2005
"82","АНО ""Республика КИНО""","             Образование","             Ханты-Мансийский АО","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Неполные семьи, Некоммерческие организации"," 2017        ",2017
"83","АНО ""Родники традиций"" - культурно-просветительский центр","             Культурно-просветительская деятельность","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Некоммерческие организации"," 2014        ",2014
"84","АНО ""Сибирский центр социального развития общества""","             Социально ориентированные НКО","             Курганская обл.","                                       Пожилые люди, Сельские жители, Социально-незащищенные жители, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2015        ",2015
"85","АНО ""УПЦ ""Инновация""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Татарстан","                                       Пожилые люди, Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"86","АНО ""Уральский центр комплексной реабилитации""","             Социально ориентированные НКО","             Свердловская обл.","                                       Пожилые люди, Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2015        ",2015
"87","АНО ""Центр профилактики преступлений ""Родители за мир без преступности, насилия и наркотиков"".","             Культурно-просветительская деятельность","             Москва и Московская обл.","                                       Родители с детьми, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Добровольцы, сторонники НКО"," 2013        ",2013
